Rating,Review,Name
5.0,"I visited Kebabs & Curries with a non-vegetarian friend. Although I am a vegetarian, they managed to provide delicious vegetable options, and my friend also enjoyed non-vegetarian dishes. The atmosphere was amazing, and the overall atmosphere was great. The staff was polite and very helpful. A good place to enjoy a meal!",
5.0,"In a city dominated by vegetarian food, this place was a boon and close to my hotel. To visit the restaurant in Jaipur, incredible service, food, size and price. Very neat, toilet were clean, very polite waiting staff, they made sweet spicy food for us on request. Desi Ghee Mutton Curry and Afghani Chicken Momos are a must try!",
1.0,"Im Athrv Joshi living in jaipur rajasthan 302020, where I went to a restaurant Kebabs & Curries chitrakoot vathali nagar jaipur on 27 February 2025 around 10:45 pm. There I ordered paneer tikka masala garlic naan and veg biryani then I started to eat and when I started to eat biryani I felt unconscious and I noticed a piece of chicken in it and it was chicken biryani not veg biryani that I ordered and im bhramin hindu by caste and after they quarrel with me and harass me so that it was totally unacceptable being such a brand so I called the police also but I did not get the satisfaction so please help me.",
5.0,"The place is good to go all the time for a quick bite or a full belly feast ..AJAY is the guy who helps in everything, from the choice of food to go for anything else and always comes with a gesture that We are not at any ordinary place but sitting and dining at my house only ..a lot of thanks for him ..still shine ..",
5.0,Kebabs and curry serves the most authentic non veg in the city of J where you can find the most delicious food also they serve food at night until morning 4am ...,
4.0,"Good meal, menu consists of a variety of non-veg items. They mentioned their specialty items on the first page of the menu card and I recommend to try this. Ambience and decor is vibrant, the staffs are courteous. special mention Ajay which is a well-conducted personality, served us well. Although the food took little time to be served as usual but the taste compensate this.",
5.0,"I have been a regular at the company of kebabs and currys, and there is still the best non-vegetable restaurant in Jaipur! The flavors are always amazing, and the quality of the food is always high-end. The tandoori Chicken Special & desi ghee mutton curry is a must-try, especially the chicken Seekh kabab and special KCCO murgh biryani. The atmosphere is warm and inviting, making it an ideal place for family dinners and special occasions. The staff is attentive and friendly, ensuring a delicious culinary experience every time.",
5.0,"Very tasty food and professional service. Mr Ajay was the best here, served us with delicious food and took good care of us. Thank you!",
5.0,"Kebabs and Curries is my favorite dish. The food has been well presented and freshly prepared. The atmosphere looks great. You can visit this place with your friends and family. I ordered Malai Kofta , Paneer tikka maslaa , Paneer tikka biryani , Veg manchurian gravy , Veg chowmein and I owe the taste of the food was certainly very good biryani was exceptional in taste. If you are looking for food restaurants then you need to visit this place.",
5.0,"I had ordered Paan Mojito, Malai Soya Chaap, Paneer Tikka Masala, Raita fruits with Laccha paratha, everything was so tasty and the portions were great. If you are looking for a good family restaurant, then you have to visit them. Very recommended.",
5.0,I've had one of the best Indian dishes for centuries here. Food is amazing!! Mr. Ajay was very polite and courteous while assisting us. I recommend 10/10,
5.0,"The service was good, vishnu was very attentive and made sure that we had a good time. He was very polite and had great mannerisms.",
3.0,The fish was of ahata quality. The shrimps were ok. The egg curry and the Hara bhara kebabs were medium. I would prefer to go to the BBQ nation at this price range.,
5.0,Really good food and friendly family vibes. The staff is very polite especially Ajay.,
5.0,Good cold coffee. Very creamy and low in sugar. The service was fast Toilet room was clean and the restaurant had good lighting and atmosphere.,
5.0,"I always visit Kccc when I am in jaipur. But this time, their garlic nana with cheese exceeded my expectations! Who are already very high! Ajay was a wonderful waiter. I would certainly like to visit again.",
5.0,Everything was so good. Special mention to their staff named Vishnu- he welcomed us very well and was very helpful all the time,
5.0,This is the best and decent place to have no veg in the city of jaipur. The interior is amazing and the service and behavior of the staff is also good. And the quantity and quality of the food is so good I ordered Chicken and Mutton biryani and it was the best biryani I ever had.,
5.0,I went there today with my friends and seriously I enjoyed there...... had tried their special kcco biryani and the Tikka Biryani panel. Both were really so good in taste. The presentation of all the items were really good. Printed with service and staaf there. Must visit this place once if you want to have a good experience.,
5.0,It's a wonderful experience with KNC. Never miss the wait. Always perfect to eat. I would like to thank the server of today - Mr. Ajay.,
3.0,"Located on the main road of Chitrakoot, this brand is known for its non-vegetarian specialties. With an incredible matka chicken for special tandoori chicken, this is the place for non-veg enthusiasts. Although parking might be unproblematic at this point of sale but it is still worth visiting.",
5.0,"An incredible taste and quality, the atmosphere is very beautiful, it is a perfect family restaurant, I really loved the kebab gole, the paneer tikka masala and the dal makhani, the main dish is certainly the best in the city.",
5.0,I visited with my friends for lunch. It was a great experience. Atmosphere was so beautiful and the quality of the food and the quantity is pleasant Price is also affordable. You can visit with your family and friends.,
5.0,Vishnu service was very good to visit again. The taste of food is great.,
5.0,"The taste of the food was quite good.i ordered paneer tikka and butter chicken curry.food was good.service of the restaurant is very pleasant.bheaviour of the staff is also good. best place for non-vegetable foods. a time has to go there to taste.price is a little high, but it is justified.",
5.0,KCCO serves both veg and non-veg. But I can say that it is a paradise for non-veg lovers. They have a lot of variety in non-veg dishes. I have experienced the taste of kcco for 6 to 7 years. They have authentic non-veg. Flats. People will like there boneless chicken.,
5.0,"I saw this place a few weeks ago with my family. It has a good atmosphere, good service, food is also good especially non veg items.",
4.0,Food tasting with large staff services,
5.0,Great restaurant and atmosphere. The food was tasty all the professional and friendly staff- especially Vishnu,
5.0,"I'm just surprised to have had such amazing food in Jaipur and everything is authentic. The cold bread roll I had was awesome, the kofta malai, the biryani veg were also amazing. The staff is courteous and warm and it felt great for dinner here, strongly recommending this to everyone.",
5.0,"The place is great n atmosphere is also nyc .. The food is delicious n quantity is also great ..they also give the free onion, achar, chuntey ... one can enjoy the great food n time there ... service is ...",
5.0,The food was tasty and thanks to Mr. Vishnu to their service and polite behavior during our visit,
5.0,"Very good overall experience and food, Mr. Vishanu was very polite.",
5.0,All services and food are good Vishnu Kumar thanks for the amazing service,
5.0,A great service and food... Mr. VISHNU took care of us with great pleasure and gave us the Wow moment.,
